2468081007	409931558,470736982,409931560,28287532,413812185,470759864,557158335,409931559,470736984,1318284362,1318284364,1317420958,5334935,443292538,537854146,473873430,22677859,467590816,27836910,26496640,503123219,22846931,5338073,409931561,1317458001,470736983
982499681	1363511954,417833696,477458901,28977543,403012070,39940146,5300361,463160130,512648926,490453070,5339944,28267901,468882314,5323383,28391194,30830896,467595642,22839454,490602356,440464530,443292538,421160391,517975238,408532325,427419378,502238982,516358257,474739392,408055341,29027529,5416482,412175910,468738286,495542293,428642356,513336640,447076376,5313185,32619017,5398824,28234873,36586927,489998375
2447752106	526904859,574921594,526904861,509728715,439911604,474764155,439911603,500684064,526904862,439911605,526904860,500684066,439915555,484311692,500684065,500686061,526904864,574921595,574921596,574921597,574921598,526904863,500686063,474764154,439911607,439911606
519459975	447925109,449452076,452601478,454053752,447076376,450222772,456175173,459733219,454053753,455345437,458231342,456185154,456185153,456185156,456185157,456175172,456175174,456175175,456185158,461347030,459720416,459733220,461347033,461347034,459720414,461347036,461347037,461347038,459720417,461347040,461347041,461347042,461347043,461347044,461347045,459733222,459720415,461347048,459733223,459733224,461347051
2308644764	
2470855457	35090760,436699534,1380908251,27937389,515647526,574921594,28029001,1360662681,522351083,568207997,1297744010,1404511131,445153701,1429450801,410801515,28182120,1323035774,502238344,467166330,1392772737,28254795,29011143,1307376239,1316563427,551340976,528272395,1310960026,35848032,531295474,516358747,500410198,454069654,526904859,865040325,1343027757,28686798,426026161,28126835,33544121,519250358,35617556,28029010,451126287,31209068
2291941158	1302106698,1341785351,1406660468,1366361967,1365379017,1352542566,1311397102,1297532398,33255650,35956186,1373561269,1311397322,28432214,864639419,537854153,548145536,571059465,1338654312,502709728,516358750,414980810,32102385,1305364661,484056031,502238090,38679968,499222210,477331901,556203087,487598456,400075034,515453654,403012242,476254345,39443152,33756127,554241645,470601324,34999468
2452844647	1326112618,516010512,35090615,35090585,35090623,35090630,35090598,35090605,35090618,35090603,35090592,35090576,35090604,35090589,35090601,35090607,35090621,35090596,35090579,35090587,35090573,35090574,35090583,35090594,35090626,35090572,35090631,35090581,1323213621,864648701,405377643,1325405564,1329111003,1325403901,1323212648,1324969526,1319873389,1319873388,507989922,1318288121,1318288122,549818888,1316330436,1316330437,26141853,5387800,556203261,511416950,22080575,31140326,17106314
2334867228	1350078433,1433537267,1433537419,1432871025,1429937587,1415835113,1417872116,1419371805,1398423308,1398765050,1412175187,1412174449,1409054182,1408971577,1407434634,1399825195,1384356715,1336856979,1378896599,1379654662,1379899395,1379906429,1379895185,1379891909,1379888835,1379888598,1379899260,1379899130,1379895800,1379895229,1379895170,1379891865,1379891612,1379891275,1379891242,1379891201,1379888988,1379888847,1379888818,1379646351,1379654678,1379644703,1379644568,1379895235,1379495574,1379496446,1377530926,1357588076,1336866934,1358852626,1376125397,1346104089,464009755,1336864914,1368366174,1346093097,1369576880,1374438860,1373795796,1368143577,1346105066,1376125345,1376129025,1336871913,1374083221,1377331596,1376121921,1374044878,1376129066,1368148290,1369588049,1375527799,1356248365,1375530408,1356284746,1356285340,1356285336,1357399610,1336866078,1356256037,1356248387,1356247006,1356248396,1356285325,1374445142,1356246723,1356248417,1356248389,1359282675,1356246939,1375436512,1375449323,1375319848,1375516056,1375449393,1375516076,1356247016,1375548144,1375481769,1375516455,1375527830,1375527844,1375630253,1375527860,1375629529,1375574641
913170060	464373134,492833341,475277374,509728728,5402603,35307518,404182023,29538084,34923346,36199056,519355459,423407800,34341662,26167184,5336489,480768592,5303696,28234856,5374149,34383449,29818953,22843115,5374207,408055363,5395712,424060277,480409516,29572493,26429347,5154953,509311682,5313001,423407797,37240351,405464594,37239379,25694489,5041850,25721087,24902643,5411526,2532409,5410521,26142487,721078,31245246,21253809,473873139,21427869
